Gene	aos_HRFR_1.5h_nw	aos_HRFR_1.5h_w	aos_LRFR_1.5h_nw	aos_LRFR_1.5h_w	aos_HRFR_4h_nw	aos_HRFR_4h_w	aos_LRFR_4h_nw	aos_LRFR_4h_w	Col-0_HRFR_1.5h_nw	Col-0_HRFR_1.5h_w	Col-0_LRFR_1.5h_nw	Col-0_LRFR_1.5h_w	Col-0_HRFR_4h_nw	Col-0_HRFR_4h_w	Col-0_LRFR_4h_nw	Col-0_LRFR_4h_w
AT3G59500	4.456358224	4.512714226	4.579385751	4.536078936	4.345346842	4.417642816	4.735142088	4.774809711	4.486498133	4.80367707	4.357689812	4.637523651	4.256202792	4.496196247	4.753835549	4.635135468
AT3G59520	3.075456333	3.152187515	3.109781588	3.286443496	3.011409447	2.961616181	3.149239471	3.292120406	3.195098819	3.171042638	3.264763929	3.173203069	3.106276915	3.186787592	3.239330052	3.036808377
AT3G59530	2.103481702	2.212369203	2.397465363	2.242093296	2.093785959	2.002910543	1.955049395	2.047416103	2.173662008	2.50702624	2.335554835	2.395798498	2.000892782	2.283512486	1.991385308	2.647005713
AT3G59540	6.24913192	6.133750542	6.379847804	6.303487917	6.202499916	5.999537576	6.451443148	6.536253189	6.580198186	6.423453915	6.574190579	6.379990497	6.280990499	6.01382963	6.783806022	6.641156091
AT3G59550	2.827170408	2.593107269	2.773247294	2.648648065	3.189311106	3.133233983	3.773502544	3.514101681	2.837365136	2.086877336	2.911476515	2.315162012	3.185309081	2.450635887	3.775345352	3.259471006
AT3G59570	2.752743964	3.082844456	2.871561187	3.199054201	3.119157793	3.174046368	2.777210108	2.99668959	2.904109147	2.928077211	3.014718513	3.138749559	2.953369086	2.720994876	2.774397609	2.825400118
AT3G59580	0.080078705	0.19533502	-0.127898117	0.080952867	0.34216453	0.104281233	-0.268023196	-0.1108806	0.157394914	-0.034122034	0.260490648	-0.553626592	0.32212597	0.255773878	-0.648302239	0.15257574
AT3G59600	4.733597767	4.634224766	4.821761921	4.708463315	4.654278942	4.655581855	4.565347869	4.550466278	4.803410858	4.841490101	4.76354238	4.737590939	4.751522049	4.766822427	4.644190855	4.743221136
AT3G59630	3.86752161	3.772570372	3.906578084	3.881471299	3.798868665	3.729262207	4.050724076	3.96624834	3.956330612	3.8830486	3.908826394	3.957560407	3.861706975	3.626753327	4.05713978	3.920035174
AT3G59640	2.772922576	2.847041893	2.816764258	2.707663681	2.7904503	2.688064761	2.503803335	2.450502866	2.881747112	2.821841692	2.705724472	2.732315485	2.621582507	2.707752135	2.394934438	2.439940427
AT3G59650	3.273155939	3.058685641	3.335061939	3.09337712	3.333498863	3.097605208	3.371977397	3.389225033	3.380637383	3.244989566	3.47537289	3.29083186	3.289973531	3.155878804	3.676402892	3.574379302
AT3G59660	5.231923165	5.340038086	5.023993988	5.176500895	5.143675244	5.235502006	4.700173142	4.840336191	5.042245989	5.359964646	5.011869596	5.194911169	4.970779219	5.259199744	4.604966586	4.740668445
AT3G59670	3.71628091	3.99979609	3.966264403	4.221479055	3.622789929	3.449351853	4.96779578	4.896243884	4.346184223	3.752862731	4.622263042	4.231485832	3.830128877	3.226253069	5.278667171	5.014552202
AT3G59680	2.992039664	2.497410614	2.789966234	2.458078576	2.513051597	2.580075759	2.602576114	2.714402421	2.895401771	1.486298632	2.873143599	1.662049809	2.700266842	1.924222355	2.846180062	2.233258593
AT3G59690	3.960674697	4.123052508	4.011884005	4.06954366	3.930996204	4.042960649	3.963038176	3.891026145	3.995531611	3.95975816	3.95821692	3.953632434	3.968988447	3.972932332	3.893631554	3.587622273
AT3G59710	-2.464444252	-0.725222614	-3.829439123	-2.246146228	-2.371495401	-0.824119257	-3.675418751	-2.898195191	-1.352441911	4.476339985	-1.752862565	1.847633682	-1.80667888	4.271682585	-2.662336341	1.77012346
AT3G59750	1.461559836	0.900126082	1.007029605	1.064526642	1.111112467	1.845183755	-1.962007645	-1.08221971	1.43083809	3.337905324	1.331327236	2.930681985	0.906863646	1.607562864	-1.005940416	0.111654306
AT3G59760	6.126950932	6.419568878	6.049181287	6.359270415	5.850830295	6.199896611	5.201290934	5.289054441	5.870150591	7.027968779	5.793823526	6.847304092	5.719918821	7.08079893	5.242971089	6.45957106
AT3G59765	2.046215389	2.094720237	2.156565727	2.029099679	2.17461158	2.234067117	1.922975067	2.092492111	2.053190169	2.276111591	2.264153935	2.334837002	2.110353429	2.198586168	2.163435651	2.06919047
AT3G59770	6.31921529	6.317057799	6.114943226	6.340849004	6.273299423	6.304613526	6.562051504	6.602507576	6.329608557	6.365540378	6.35162774	6.29144976	6.204704062	6.315490894	6.545327951	6.39390806
AT3G59780	8.282527919	8.052768921	8.190433203	8.153258121	8.188291525	8.069049889	7.776660112	7.660544119	8.220059611	8.07121578	8.146165915	8.092487883	8.137184872	8.183607128	7.721045039	7.661757815
